sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,0.078875
0,0,kids,1,None,0.498141
0,0,tsimane,2,None,0.131681
0,0,adults,3,None,0.124312
1,10,monkeys,0,None,0.074540
1,10,kids,1,None,0.514743
1,10,tsimane,2,None,0.136233
1,10,adults,3,None,0.121785
2,20,monkeys,0,None,0.210168
2,20,kids,1,None,0.022853
2,20,tsimane,2,None,0.162344
2,20,adults,3,None,0.219614
3,30,monkeys,0,None,0.072195
3,30,kids,1,None,0.360330
3,30,tsimane,2,None,0.050661
3,30,adults,3,None,0.048566
4,40,monkeys,0,None,0.206876
4,40,kids,1,None,0.086905
4,40,tsimane,2,None,0.015360
4,40,adults,3,None,0.134011
5,50,monkeys,0,None,0.163604
5,50,kids,1,None,0.687598
5,50,tsimane,2,None,0.248473
5,50,adults,3,None,0.067154
6,60,monkeys,0,None,0.108151
6,60,kids,1,None,0.187388
6,60,tsimane,2,None,0.075095
6,60,adults,3,None,0.092185
7,70,monkeys,0,None,0.045069
7,70,kids,1,None,0.028055
7,70,tsimane,2,None,0.120401
7,70,adults,3,None,0.135007
8,80,monkeys,0,None,0.198606
8,80,kids,1,None,0.148714
8,80,tsimane,2,None,0.190223
8,80,adults,3,None,0.147065
9,90,monkeys,0,None,0.040785
9,90,kids,1,None,0.050335
9,90,tsimane,2,None,0.080092
9,90,adults,3,None,0.026037
10,100,monkeys,0,None,0.002145
10,100,kids,1,None,0.097688
10,100,tsimane,2,None,0.073072
10,100,adults,3,None,0.172126
11,110,monkeys,0,None,0.357223
11,110,kids,1,None,0.164178
11,110,tsimane,2,None,0.037611
11,110,adults,3,None,0.065441
12,120,monkeys,0,None,0.323474
12,120,kids,1,None,0.138105
12,120,tsimane,2,None,0.023913
12,120,adults,3,None,0.152452
13,130,monkeys,0,None,0.011471
13,130,kids,1,None,0.060818
13,130,tsimane,2,None,0.018112
13,130,adults,3,None,0.082823
14,140,monkeys,0,None,0.199107
14,140,kids,1,None,0.023153
14,140,tsimane,2,None,0.040180
14,140,adults,3,None,0.004505
15,150,monkeys,0,None,0.045638
15,150,kids,1,None,0.087184
15,150,tsimane,2,None,0.114803
15,150,adults,3,None,0.313797
16,160,monkeys,0,None,0.054935
16,160,kids,1,None,0.121662
16,160,tsimane,2,None,0.067723
16,160,adults,3,None,0.190130
17,170,monkeys,0,None,0.032421
17,170,kids,1,None,0.091975
17,170,tsimane,2,None,0.125879
17,170,adults,3,None,0.200783
18,180,monkeys,0,None,0.206555
18,180,kids,1,None,0.059608
18,180,tsimane,2,None,0.085662
18,180,adults,3,None,0.008048
19,190,monkeys,0,None,0.146231
19,190,kids,1,None,0.192588
19,190,tsimane,2,None,0.026107
19,190,adults,3,None,0.021397
20,200,monkeys,0,None,0.155882
20,200,kids,1,None,0.183579
20,200,tsimane,2,None,0.032786
20,200,adults,3,None,0.022552
21,210,monkeys,0,None,0.141837
21,210,kids,1,None,0.215882
21,210,tsimane,2,None,0.031594
21,210,adults,3,None,0.022603
22,220,monkeys,0,None,0.165329
22,220,kids,1,None,0.166194
22,220,tsimane,2,None,0.067898
22,220,adults,3,None,0.030334
23,230,monkeys,0,None,0.173658
23,230,kids,1,None,0.068000
23,230,tsimane,2,None,0.092791
23,230,adults,3,None,0.021122
24,240,monkeys,0,None,0.128402
24,240,kids,1,None,0.079586
24,240,tsimane,2,None,0.158194
24,240,adults,3,None,0.023880
25,250,monkeys,0,None,0.034297
25,250,kids,1,None,0.016329
25,250,tsimane,2,None,0.072955
25,250,adults,3,None,0.019893
26,260,monkeys,0,None,0.033270
26,260,kids,1,None,0.016234
26,260,tsimane,2,None,0.096114
26,260,adults,3,None,0.016546
27,270,monkeys,0,None,0.101251
27,270,kids,1,None,0.008559
27,270,tsimane,2,None,0.073403
27,270,adults,3,None,0.061034
28,280,monkeys,0,None,0.099191
28,280,kids,1,None,0.010554
28,280,tsimane,2,None,0.085128
28,280,adults,3,None,0.063560
29,290,monkeys,0,None,0.207292
29,290,kids,1,None,0.017536
29,290,tsimane,2,None,0.069806
29,290,adults,3,None,0.013611
30,300,monkeys,0,None,0.114388
30,300,kids,1,None,0.023559
30,300,tsimane,2,None,0.019168
30,300,adults,3,None,0.018579
31,310,monkeys,0,None,0.120439
31,310,kids,1,None,0.021669
31,310,tsimane,2,None,0.024381
31,310,adults,3,None,0.017599
32,320,monkeys,0,None,0.166548
32,320,kids,1,None,0.072495
32,320,tsimane,2,None,0.015921
32,320,adults,3,None,0.028476
33,330,monkeys,0,None,0.110105
33,330,kids,1,None,0.053192
33,330,tsimane,2,None,0.028535
33,330,adults,3,None,0.040208
34,340,monkeys,0,None,0.170484
34,340,kids,1,None,0.257013
34,340,tsimane,2,None,0.007638
34,340,adults,3,None,0.005724
35,350,monkeys,0,None,0.104296
35,350,kids,1,None,0.069430
35,350,tsimane,2,None,0.008193
35,350,adults,3,None,0.003493
36,360,monkeys,0,None,0.103857
36,360,kids,1,None,0.146324
36,360,tsimane,2,None,0.480165
36,360,adults,3,None,0.488392
37,370,monkeys,0,None,0.007488
37,370,kids,1,None,0.061957
37,370,tsimane,2,None,0.004653
37,370,adults,3,None,0.003762
38,380,monkeys,0,None,0.120416
38,380,kids,1,None,0.153168
38,380,tsimane,2,None,0.007725
38,380,adults,3,None,0.238758
39,390,monkeys,0,None,0.108160
39,390,kids,1,None,0.176599
39,390,tsimane,2,None,0.030963
39,390,adults,3,None,0.188894
40,400,monkeys,0,None,0.034890
40,400,kids,1,None,0.037140
40,400,tsimane,2,None,0.220363
40,400,adults,3,None,0.004402
41,410,monkeys,0,None,0.118160
41,410,kids,1,None,0.217653
41,410,tsimane,2,None,0.080757
41,410,adults,3,None,0.070639
42,420,monkeys,0,None,0.024681
42,420,kids,1,None,0.005809
42,420,tsimane,2,None,0.118813
42,420,adults,3,None,0.025359
43,430,monkeys,0,None,0.076210
43,430,kids,1,None,0.004528
43,430,tsimane,2,None,0.019039
43,430,adults,3,None,0.045478
44,440,monkeys,0,None,0.118879
44,440,kids,1,None,0.032709
44,440,tsimane,2,None,0.037426
44,440,adults,3,None,0.071892
45,450,monkeys,0,None,0.120280
45,450,kids,1,None,0.037575
45,450,tsimane,2,None,0.030664
