sample,thin_sample,who,part,which,value
0,0,monkeys,0,OOMC,0.067618
0,0,monkeys,0,OMCO,0.209419
0,0,monkeys,0,OOCM,0.157859
0,0,monkeys,0,OCOM,0.061975
0,0,monkeys,0,OMOC,0.249059
0,0,monkeys,0,OCCO,0.051977
0,0,monkeys,0,CCOO,0.161963
0,0,monkeys,0,COCO,0.014018
0,0,monkeys,0,COOM,0.026111
0,0,kids,1,OOMC,0.370275
0,0,kids,1,OMCO,0.081362
0,0,kids,1,OOCM,0.181367
0,0,kids,1,OCOM,0.070962
0,0,kids,1,OMOC,0.099007
0,0,kids,1,OCCO,0.055499
0,0,kids,1,CCOO,0.028604
0,0,kids,1,COCO,0.045886
0,0,kids,1,COOM,0.067038
0,0,tsimane,2,OOMC,0.408472
0,0,tsimane,2,OMCO,0.034949
0,0,tsimane,2,OOCM,0.316732
0,0,tsimane,2,OCOM,0.076955
0,0,tsimane,2,OMOC,0.021611
0,0,tsimane,2,OCCO,0.041668
0,0,tsimane,2,CCOO,0.024303
0,0,tsimane,2,COCO,0.049624
0,0,tsimane,2,COOM,0.025685
0,0,adults,3,OOMC,0.710903
0,0,adults,3,OMCO,0.008175
0,0,adults,3,OOCM,0.088540
0,0,adults,3,OCOM,0.040340
0,0,adults,3,OMOC,0.037193
0,0,adults,3,OCCO,0.015086
0,0,adults,3,CCOO,0.059330
0,0,adults,3,COCO,0.028435
0,0,adults,3,COOM,0.011998
50,50,monkeys,0,OOMC,0.273926
50,50,monkeys,0,OMCO,0.141752
50,50,monkeys,0,OOCM,0.241090
50,50,monkeys,0,OCOM,0.097239
50,50,monkeys,0,OMOC,0.071727
50,50,monkeys,0,OCCO,0.020391
50,50,monkeys,0,CCOO,0.003987
50,50,monkeys,0,COCO,0.123936
50,50,monkeys,0,COOM,0.025951
50,50,kids,1,OOMC,0.298176
50,50,kids,1,OMCO,0.046372
50,50,kids,1,OOCM,0.306519
50,50,kids,1,OCOM,0.028525
50,50,kids,1,OMOC,0.039479
50,50,kids,1,OCCO,0.076204
50,50,kids,1,CCOO,0.048210
50,50,kids,1,COCO,0.086840
50,50,kids,1,COOM,0.069676
50,50,tsimane,2,OOMC,0.390078
50,50,tsimane,2,OMCO,0.036532
50,50,tsimane,2,OOCM,0.398374
50,50,tsimane,2,OCOM,0.069838
50,50,tsimane,2,OMOC,0.015553
50,50,tsimane,2,OCCO,0.016785
50,50,tsimane,2,CCOO,0.023814
50,50,tsimane,2,COCO,0.027889
50,50,tsimane,2,COOM,0.021137
50,50,adults,3,OOMC,0.764376
50,50,adults,3,OMCO,0.051271
50,50,adults,3,OOCM,0.025774
50,50,adults,3,OCOM,0.052908
50,50,adults,3,OMOC,0.036983
50,50,adults,3,OCCO,0.012295
50,50,adults,3,CCOO,0.028649
50,50,adults,3,COCO,0.023201
50,50,adults,3,COOM,0.004543
100,100,monkeys,0,OOMC,0.351987
100,100,monkeys,0,OMCO,0.208901
100,100,monkeys,0,OOCM,0.069381
100,100,monkeys,0,OCOM,0.068337
100,100,monkeys,0,OMOC,0.150656
100,100,monkeys,0,OCCO,0.022162
100,100,monkeys,0,CCOO,0.041797
100,100,monkeys,0,COCO,0.041731
100,100,monkeys,0,COOM,0.045048
100,100,kids,1,OOMC,0.286742
100,100,kids,1,OMCO,0.082164
100,100,kids,1,OOCM,0.252004
100,100,kids,1,OCOM,0.075427
100,100,kids,1,OMOC,0.041463
100,100,kids,1,OCCO,0.068939
100,100,kids,1,CCOO,0.080464
100,100,kids,1,COCO,0.066512
100,100,kids,1,COOM,0.046285
100,100,tsimane,2,OOMC,0.522587
100,100,tsimane,2,OMCO,0.018779
100,100,tsimane,2,OOCM,0.328566
100,100,tsimane,2,OCOM,0.049523
100,100,tsimane,2,OMOC,0.012643
100,100,tsimane,2,OCCO,0.014702
100,100,tsimane,2,CCOO,0.015544
100,100,tsimane,2,COCO,0.018131
100,100,tsimane,2,COOM,0.019526
100,100,adults,3,OOMC,0.787723
100,100,adults,3,OMCO,0.039252
100,100,adults,3,OOCM,0.053548
100,100,adults,3,OCOM,0.028924
100,100,adults,3,OMOC,0.033541
100,100,adults,3,OCCO,0.007461
100,100,adults,3,CCOO,0.014462
100,100,adults,3,COCO,0.020723
100,100,adults,3,COOM,0.014367
150,150,monkeys,0,OOMC,0.425856
150,150,monkeys,0,OMCO,0.103368
150,150,monkeys,0,OOCM,0.080324
150,150,monkeys,0,OCOM,0.119838
150,150,monkeys,0,OMOC,0.079999
150,150,monkeys,0,OCCO,0.021704
150,150,monkeys,0,CCOO,0.031050
150,150,monkeys,0,COCO,0.084602
150,150,monkeys,0,COOM,0.053259
150,150,kids,1,OOMC,0.321614
150,150,kids,1,OMCO,0.099852
150,150,kids,1,OOCM,0.289115
150,150,kids,1,OCOM,0.070395
150,150,kids,1,OMOC,0.039202
150,150,kids,1,OCCO,0.041860
150,150,kids,1,CCOO,0.052442
150,150,kids,1,COCO,0.051157
150,150,kids,1,COOM,0.034363
150,150,tsimane,2,OOMC,0.542640
150,150,tsimane,2,OMCO,0.013074
150,150,tsimane,2,OOCM,0.293217
150,150,tsimane,2,OCOM,0.048509
150,150,tsimane,2,OMOC,0.018561
150,150,tsimane,2,OCCO,0.014927
150,150,tsimane,2,CCOO,0.026673
150,150,tsimane,2,COCO,0.016375
150,150,tsimane,2,COOM,0.026024
150,150,adults,3,OOMC,0.806265
150,150,adults,3,OMCO,0.035700
150,150,adults,3,OOCM,0.024769
150,150,adults,3,OCOM,0.019365
150,150,adults,3,OMOC,0.021896
150,150,adults,3,OCCO,0.005075
150,150,adults,3,CCOO,0.017818
150,150,adults,3,COCO,0.046640
150,150,adults,3,COOM,0.022470
200,200,monkeys,0,OOMC,0.307836
200,200,monkeys,0,OMCO,0.270727
200,200,monkeys,0,OOCM,0.037500
200,200,monkeys,0,OCOM,0.016457
200,200,monkeys,0,OMOC,0.188870
200,200,monkeys,0,OCCO,0.040221
200,200,monkeys,0,CCOO,0.040502
200,200,monkeys,0,COCO,0.056527
200,200,monkeys,0,COOM,0.041361
200,200,kids,1,OOMC,0.457809
200,200,kids,1,OMCO,0.097937
200,200,kids,1,OOCM,0.103756
200,200,kids,1,OCOM,0.084248
200,200,kids,1,OMOC,0.068098
200,200,kids,1,OCCO,0.057474
200,200,kids,1,CCOO,0.054182
200,200,kids,1,COCO,0.029372
200,200,kids,1,COOM,0.047124
200,200,tsimane,2,OOMC,0.558300
200,200,tsimane,2,OMCO,0.029370
200,200,tsimane,2,OOCM,0.277513
200,200,tsimane,2,OCOM,0.046585
200,200,tsimane,2,OMOC,0.024381
200,200,tsimane,2,OCCO,0.015860
200,200,tsimane,2,CCOO,0.010057
200,200,tsimane,2,COCO,0.010147
200,200,tsimane,2,COOM,0.027787
200,200,adults,3,OOMC,0.863222
200,200,adults,3,OMCO,0.023294
200,200,adults,3,OOCM,0.014585
200,200,adults,3,OCOM,0.012171
200,200,adults,3,OMOC,0.021823
200,200,adults,3,OCCO,0.009762
200,200,adults,3,CCOO,0.015217
200,200,adults,3,COCO,0.026667
200,200,adults,3,COOM,0.013258
250,250,monkeys,0,OOMC,0.129740
250,250,monkeys,0,OMCO,0.064146
250,250,monkeys,0,OOCM,0.226623
250,250,monkeys,0,OCOM,0.078890
250,250,monkeys,0,OMOC,0.208400
250,250,monkeys,0,OCCO,0.010608
250,250,monkeys,0,CCOO,0.128627
250,250,monkeys,0,COCO,0.101270
250,250,monkeys,0,COOM,0.051695
250,250,kids,1,OOMC,0.328775
250,250,kids,1,OMCO,0.117405
250,250,kids,1,OOCM,0.151735
250,250,kids,1,OCOM,0.073741
250,250,kids,1,OMOC,0.054770
250,250,kids,1,OCCO,0.100954
250,250,kids,1,CCOO,0.063156
250,250,kids,1,COCO,0.071478
250,250,kids,1,COOM,0.037985
250,250,tsimane,2,OOMC,0.471195
250,250,tsimane,2,OMCO,0.034658
250,250,tsimane,2,OOCM,0.318698
250,250,tsimane,2,OCOM,0.066461
250,250,tsimane,2,OMOC,0.049950
250,250,tsimane,2,OCCO,0.014336
250,250,tsimane,2,CCOO,0.016510
250,250,tsimane,2,COCO,0.011899
250,250,tsimane,2,COOM,0.016294
250,250,adults,3,OOMC,0.727817
250,250,adults,3,OMCO,0.034392
250,250,adults,3,OOCM,0.043749
250,250,adults,3,OCOM,0.048931
250,250,adults,3,OMOC,0.026452
250,250,adults,3,OCCO,0.025484
250,250,adults,3,CCOO,0.029035
250,250,adults,3,COCO,0.035192
250,250,adults,3,COOM,0.028947
300,300,monkeys,0,OOMC,0.086266
300,300,monkeys,0,OMCO,0.084424
300,300,monkeys,0,OOCM,0.087785
300,300,monkeys,0,OCOM,0.103203
300,300,monkeys,0,OMOC,0.300263
300,300,monkeys,0,OCCO,0.009408
300,300,monkeys,0,CCOO,0.150556
300,300,monkeys,0,COCO,0.092833
300,300,monkeys,0,COOM,0.085263
300,300,kids,1,OOMC,0.338439
300,300,kids,1,OMCO,0.100524
300,300,kids,1,OOCM,0.175906
300,300,kids,1,OCOM,0.053776
300,300,kids,1,OMOC,0.057249
300,300,kids,1,OCCO,0.095793
300,300,kids,1,CCOO,0.075068
300,300,kids,1,COCO,0.047721
300,300,kids,1,COOM,0.055525
300,300,tsimane,2,OOMC,0.451502
300,300,tsimane,2,OMCO,0.050524
300,300,tsimane,2,OOCM,0.284482
300,300,tsimane,2,OCOM,0.078878
300,300,tsimane,2,OMOC,0.056046
300,300,tsimane,2,OCCO,0.023327
300,300,tsimane,2,CCOO,0.016394
300,300,tsimane,2,COCO,0.021884
300,300,tsimane,2,COOM,0.016962
300,300,adults,3,OOMC,0.716099
300,300,adults,3,OMCO,0.020722
300,300,adults,3,OOCM,0.025719
300,300,adults,3,OCOM,0.092030
300,300,adults,3,OMOC,0.038891
300,300,adults,3,OCCO,0.045749
300,300,adults,3,CCOO,0.011676
300,300,adults,3,COCO,0.033340
300,300,adults,3,COOM,0.015774
350,350,monkeys,0,OOMC,0.170555
350,350,monkeys,0,OMCO,0.234742
350,350,monkeys,0,OOCM,0.168062
350,350,monkeys,0,OCOM,0.037687
350,350,monkeys,0,OMOC,0.211599
350,350,monkeys,0,OCCO,0.036228
350,350,monkeys,0,CCOO,0.063993
350,350,monkeys,0,COCO,0.051814
350,350,monkeys,0,COOM,0.025320
350,350,kids,1,OOMC,0.378371
350,350,kids,1,OMCO,0.098319
350,350,kids,1,OOCM,0.224436
350,350,kids,1,OCOM,0.032626
350,350,kids,1,OMOC,0.068654
350,350,kids,1,OCCO,0.050078
350,350,kids,1,CCOO,0.036530
350,350,kids,1,COCO,0.074385
350,350,kids,1,COOM,0.036601
350,350,tsimane,2,OOMC,0.411270
350,350,tsimane,2,OMCO,0.049938
350,350,tsimane,2,OOCM,0.368020
350,350,tsimane,2,OCOM,0.063220
350,350,tsimane,2,OMOC,0.025969
350,350,tsimane,2,OCCO,0.022369
350,350,tsimane,2,CCOO,0.020886
350,350,tsimane,2,COCO,0.011729
350,350,tsimane,2,COOM,0.026601
350,350,adults,3,OOMC,0.774855
350,350,adults,3,OMCO,0.013975
350,350,adults,3,OOCM,0.017800
350,350,adults,3,OCOM,0.071110
350,350,adults,3,OMOC,0.014993
350,350,adults,3,OCCO,0.016622
350,350,adults,3,CCOO,0.004163
350,350,adults,3,COCO,0.043347
350,350,adults,3,COOM,0.043136
400,400,monkeys,0,OOMC,0.233533
400,400,monkeys,0,OMCO,0.143907
400,400,monkeys,0,OOCM,0.125967
