sample,thin_sample,who,value
0,0,monkeys,0.069533
0,0,kids,0.011698
0,0,tsimane,0.000926
0,0,adults,0.000199
1,10,monkeys,0.078617
1,10,kids,0.018357
1,10,tsimane,0.003254
1,10,adults,0.001966
2,20,monkeys,0.082765
2,20,kids,0.017093
2,20,tsimane,0.003451
2,20,adults,0.003038
3,30,monkeys,0.082269
3,30,kids,0.018730
3,30,tsimane,0.003667
3,30,adults,0.002341
4,40,monkeys,0.081833
4,40,kids,0.012690
4,40,tsimane,0.000957
4,40,adults,0.001551
5,50,monkeys,0.089958
5,50,kids,0.011730
5,50,tsimane,0.001182
5,50,adults,0.002221
6,60,monkeys,0.084881
6,60,kids,0.010653
6,60,tsimane,0.002027
6,60,adults,0.000964
7,70,monkeys,0.088739
7,70,kids,0.010906
7,70,tsimane,0.001825
7,70,adults,0.001031
8,80,monkeys,0.073718
8,80,kids,0.008947
8,80,tsimane,0.000774
8,80,adults,0.001961
9,90,monkeys,0.089830
9,90,kids,0.010985
9,90,tsimane,0.000695
9,90,adults,0.001280
10,100,monkeys,0.064790
10,100,kids,0.019031
10,100,tsimane,0.003807
10,100,adults,0.000336
11,110,monkeys,0.078945
11,110,kids,0.014278
11,110,tsimane,0.000553
11,110,adults,0.001548
12,120,monkeys,0.080843
12,120,kids,0.016937
12,120,tsimane,0.001571
12,120,adults,0.001758
13,130,monkeys,0.079469
13,130,kids,0.018346
13,130,tsimane,0.002243
13,130,adults,0.002296
14,140,monkeys,0.085663
14,140,kids,0.011403
14,140,tsimane,0.001692
14,140,adults,0.000343
15,150,monkeys,0.078072
15,150,kids,0.021596
15,150,tsimane,0.000668
15,150,adults,0.000107
16,160,monkeys,0.074371
16,160,kids,0.009768
16,160,tsimane,0.001287
16,160,adults,0.000585
17,170,monkeys,0.060486
17,170,kids,0.015057
17,170,tsimane,0.004146
17,170,adults,0.000482
18,180,monkeys,0.064851
18,180,kids,0.012584
18,180,tsimane,0.002406
18,180,adults,0.000274
19,190,monkeys,0.082523
19,190,kids,0.017070
19,190,tsimane,0.001437
19,190,adults,0.001704
20,200,monkeys,0.078512
20,200,kids,0.013546
20,200,tsimane,0.002373
20,200,adults,0.000446
21,210,monkeys,0.078325
21,210,kids,0.014748
21,210,tsimane,0.002033
21,210,adults,0.000356
22,220,monkeys,0.077071
22,220,kids,0.021164
22,220,tsimane,0.001722
22,220,adults,0.000470
23,230,monkeys,0.074818
23,230,kids,0.012843
23,230,tsimane,0.002787
23,230,adults,0.000433
24,240,monkeys,0.088265
24,240,kids,0.013846
24,240,tsimane,0.001857
24,240,adults,0.000032
25,250,monkeys,0.093476
25,250,kids,0.012094
25,250,tsimane,0.002140
25,250,adults,0.004001
26,260,monkeys,0.071868
26,260,kids,0.016650
26,260,tsimane,0.000864
26,260,adults,0.000296
27,270,monkeys,0.076826
27,270,kids,0.011874
27,270,tsimane,0.001704
27,270,adults,0.000327
28,280,monkeys,0.070590
28,280,kids,0.014854
28,280,tsimane,0.001526
28,280,adults,0.001872
29,290,monkeys,0.088357
29,290,kids,0.015026
29,290,tsimane,0.002171
29,290,adults,0.000920
30,300,monkeys,0.076774
30,300,kids,0.014117
30,300,tsimane,0.000819
30,300,adults,0.002118
31,310,monkeys,0.075185
31,310,kids,0.015930
31,310,tsimane,0.001331
31,310,adults,0.001702
32,320,monkeys,0.074353
32,320,kids,0.015237
32,320,tsimane,0.001443
32,320,adults,0.001607
33,330,monkeys,0.076803
33,330,kids,0.014384
33,330,tsimane,0.002043
33,330,adults,0.000641
34,340,monkeys,0.079386
34,340,kids,0.014380
34,340,tsimane,0.002307
34,340,adults,0.000823
35,350,monkeys,0.075238
35,350,kids,0.014312
35,350,tsimane,0.002731
35,350,adults,0.000802
36,360,monkeys,0.063643
36,360,kids,0.014929
36,360,tsimane,0.001357
36,360,adults,0.000947
37,370,monkeys,0.065227
37,370,kids,0.013746
37,370,tsimane,0.001218
37,370,adults,0.001120
38,380,monkeys,0.080877
38,380,kids,0.011799
38,380,tsimane,0.000944
38,380,adults,0.000777
39,390,monkeys,0.073331
39,390,kids,0.019504
39,390,tsimane,0.003394
39,390,adults,0.000159
40,400,monkeys,0.071096
40,400,kids,0.025788
40,400,tsimane,0.003474
40,400,adults,0.000126
41,410,monkeys,0.094655
41,410,kids,0.010548
41,410,tsimane,0.001695
41,410,adults,0.000162
42,420,monkeys,0.065194
42,420,kids,0.020493
42,420,tsimane,0.003033
42,420,adults,0.000400
43,430,monkeys,0.082333
43,430,kids,0.017032
43,430,tsimane,0.003987
43,430,adults,0.001459
44,440,monkeys,0.082536
44,440,kids,0.016475
44,440,tsimane,0.003593
44,440,adults,0.001378
45,450,monkeys,0.079907
45,450,kids,0.016370
45,450,tsimane,0.003545
45,450,adults,0.000920
46,460,monkeys,0.082771
46,460,kids,0.018353
46,460,tsimane,0.003922
46,460,adults,0.001153
47,470,monkeys,0.080253
47,470,kids,0.019168
47,470,tsimane,0.001749
47,470,adults,0.001301
48,480,monkeys,0.078129
48,480,kids,0.018893
48,480,tsimane,0.001697
48,480,adults,0.001105
49,490,monkeys,0.079232
49,490,kids,0.016260
