 ,monkeys0 ,monkeys1 ,monkeys2 ,kids3 ,kids4 ,kids5 ,kids6 ,kids7 ,kids8 ,kids9 ,kids10 ,kids11 ,kids12 ,kids13 ,kids14 ,kids15 ,kids16 ,kids17 ,kids18 ,kids19 ,kids20 ,kids21 ,kids22 ,kids23 ,kids24 ,kids25 ,kids26 ,kids27 ,kids28 ,kids29 ,kids30 ,kids31 ,kids32 ,kids33 ,kids34 ,tsimane35 ,tsimane36 ,tsimane37 ,tsimane38 ,tsimane39 ,tsimane40 ,tsimane41 ,tsimane42 ,tsimane43 ,tsimane44 ,tsimane45 ,tsimane46 ,tsimane47 ,tsimane48 ,tsimane49 ,tsimane50 ,tsimane51 ,tsimane52 ,tsimane53 ,tsimane54 ,tsimane55 ,adults56 ,adults57 ,adults58 ,adults59 ,adults60 ,adults61 ,adults62
monkeys0,0.000000,0.448487,0.404057,0.758233,0.878548,0.697943,0.841945,0.787156,0.854771,0.819877,1.036883,0.569943,0.653928,0.810220,0.567680,0.781331,0.056562,0.903644,0.965953,0.578780,0.743440,0.702378,0.628010,0.847806,0.569364,0.786537,0.560711,0.759211,1.057372,0.590783,0.949790,0.656496,0.780512,0.568102,0.800569,0.780108,0.952458,0.793643,0.939665,0.725393,0.703078,0.962583,0.967011,1.004503,0.766793,0.690141,0.821299,0.971200,0.786492,0.734804,0.957882,0.947119,0.860816,0.784235,0.736046,0.847805,1.216442,1.068120,1.288813,1.346298,1.320210,0.964147,1.286769
monkeys1,0.448487,0.000000,0.037422,0.052802,0.140039,0.063596,0.146371,0.065264,0.119531,0.072265,0.269255,0.058000,0.039759,0.067868,0.037042,0.068525,0.418572,0.185146,0.220601,0.047490,0.055082,0.112620,0.046767,0.132310,0.049377,0.072336,0.018677,0.058055,0.291959,0.044907,0.242325,0.025600,0.063679,0.073236,0.072598,0.059796,0.198172,0.065871,0.243154,0.086175,0.074533,0.251007,0.243262,0.266086,0.137821,0.040404,0.098622,0.245626,0.100452,0.050548,0.213534,0.212193,0.118436,0.085339,0.061383,0.113520,0.431685,0.289375,0.491179,0.542313,0.521089,0.274619,0.490832
monkeys2,0.404057,0.037422,0.000000,0.136591,0.178504,0.100207,0.159756,0.177089,0.160261,0.162928,0.275249,0.063397,0.094532,0.165674,0.046932,0.131969,0.410414,0.362844,0.234349,0.057948,0.119896,0.102598,0.063933,0.159162,0.058889,0.194144,0.029674,0.167705,0.294386,0.058429,0.231448,0.071301,0.176327,0.058246,0.194497,0.149325,0.214728,0.144869,0.240166,0.106754,0.077951,0.247521,0.244576,0.264812,0.124903,0.105902,0.150927,0.244044,0.137496,0.151819,0.226816,0.217699,0.162815,0.129498,0.103397,0.155057,0.406598,0.292359,0.454850,0.503357,0.482795,0.242866,0.456100
kids3,0.758233,0.052802,0.136591,0.000000,0.060527,0.027324,0.083970,0.010400,0.045667,0.002864,0.170248,0.063278,0.011893,0.002408,0.047717,0.009420,0.650950,0.148418,0.131243,0.051342,0.004390,0.110831,0.038081,0.064925,0.055203,0.029168,0.051625,0.010078,0.190535,0.046167,0.165765,0.011986,0.010409,0.088892,0.019325,0.001624,0.111648,0.003406,0.165570,0.046693,0.053153,0.170092,0.157947,0.175641,0.101981,0.005190,0.029044,0.160961,0.040978,0.006870,0.125778,0.128926,0.043473,0.027889,0.018485,0.043088,0.316133,0.184990,0.372758,0.416275,0.398441,0.203259,0.372049
kids4,0.878548,0.140039,0.178504,0.060527,0.000000,0.029763,0.004868,0.115353,0.001907,0.049971,0.028114,0.065811,0.045805,0.068869,0.051330,0.023412,0.712873,0.392184,0.014081,0.069342,0.042800,0.125006,0.033143,0.001864,0.065759,0.167861,0.119815,0.111123,0.036653,0.062156,0.029331,0.059489,0.113000,0.052428,0.139117,0.060243,0.008428,0.040029,0.027860,0.015695,0.038001,0.029517,0.024196,0.031072,0.032339,0.044414,0.006949,0.025998,0.004567,0.106650,0.012454,0.014559,0.001841,0.008163,0.020364,0.002307,0.101778,0.034726,0.134202,0.160540,0.149529,0.053637,0.133622
kids5,0.697943,0.063596,0.100207,0.027324,0.029763,0.000000,0.033843,0.066714,0.021409,0.031705,0.098960,0.020601,0.009733,0.040783,0.016143,0.011856,0.581977,0.279576,0.068822,0.015908,0.012529,0.079424,0.008537,0.026547,0.019237,0.101012,0.048840,0.063426,0.113087,0.014435,0.084978,0.017111,0.066578,0.025276,0.085546,0.030123,0.057867,0.021694,0.087040,0.009006,0.018507,0.089547,0.084092,0.097223,0.039516,0.016451,0.012670,0.084962,0.014345,0.053020,0.064684,0.064581,0.021518,0.011984,0.008501,0.019972,0.205147,0.106899,0.251785,0.287828,0.272920,0.099948,0.251810
kids6,0.841945,0.146371,0.159756,0.083970,0.004868,0.033843,0.000000,0.149939,0.008095,0.075608,0.019427,0.060962,0.057645,0.097690,0.047718,0.038578,0.684661,0.453194,0.008291,0.065326,0.058454,0.118472,0.031987,0.001890,0.062335,0.206919,0.119993,0.144276,0.026178,0.060433,0.015199,0.070027,0.147528,0.037532,0.177371,0.085156,0.004476,0.061159,0.015153,0.014205,0.033088,0.016418,0.013500,0.019133,0.019585,0.060077,0.016790,0.014199,0.008768,0.136537,0.006825,0.006522,0.009171,0.015805,0.027656,0.008571,0.080090,0.024799,0.108584,0.133247,0.122867,0.032567,0.108424
kids7,0.787156,0.065264,0.177089,0.010400,0.115353,0.066714,0.149939,0.000000,0.094051,0.014123,0.256246,0.109679,0.036727,0.006302,0.091818,0.037283,0.687634,0.082544,0.208479,0.094415,0.026052,0.143427,0.082077,0.123312,0.093610,0.005598,0.073638,0.000806,0.280720,0.082431,0.252621,0.032959,0.000308,0.149573,0.001771,0.009934,0.183700,0.020132,0.253051,0.097792,0.099071,0.258326,0.243333,0.264578,0.166546,0.024753,0.069787,0.247629,0.088637,0.001651,0.202390,0.206575,0.091314,0.068826,0.053645,0.091495,0.431553,0.274508,0.496740,0.545933,0.525922,0.300509,0.495676
kids8,0.854771,0.119531,0.160261,0.045667,0.001907,0.021409,0.008095,0.094051,0.000000,0.036861,0.040983,0.058523,0.034827,0.053155,0.043792,0.014894,0.698366,0.352269,0.023198,0.059657,0.029987,0.102231,0.026065,0.003445,0.053191,0.141100,0.098121,0.090137,0.051073,0.048731,0.039289,0.044193,0.092270,0.048109,0.115846,0.045065,0.015376,0.027677,0.040131,0.012707,0.026861,0.041713,0.035813,0.043882,0.028179,0.031944,0.002972,0.037393,0.001630,0.086120,0.021328,0.022206,0.000661,0.003304,0.011654,0.000997,0.124646,0.048805,0.160155,0.188999,0.177114,0.065754,0.159703
kids9,0.819877,0.072265,0.162928,0.002864,0.049971,0.031705,0.075608,0.014123,0.036861,0.000000,0.151323,0.077529,0.017706,0.001644,0.058640,0.007349,0.694319,0.162961,0.115688,0.067769,0.007935,0.119591,0.044504,0.056151,0.066187,0.035778,0.071091,0.013187,0.170304,0.056842,0.151830,0.019603,0.013237,0.097600,0.022683,0.001355,0.097328,0.001162,0.151014,0.047094,0.057382,0.154462,0.142864,0.158625,0.099526,0.007581,0.022582,0.146342,0.035466,0.013230,0.111361,0.115531,0.034531,0.023239,0.018292,0.034965,0.291623,0.165507,0.345123,0.386191,0.369530,0.193560,0.344159
