sample,thin_sample,who,part,which,value
0,0,monkeys,0,OOMC,0.048797
0,0,monkeys,0,OMCO,0.349212
0,0,monkeys,0,OOCM,0.025785
0,0,monkeys,0,OCOM,0.000657
0,0,monkeys,0,OMOC,0.525570
0,0,monkeys,0,OCCO,0.000000
0,0,monkeys,0,CCOO,0.029186
0,0,monkeys,0,COCO,0.000000
0,0,monkeys,0,COOM,0.020792
0,0,monkeys,1,OOMC,0.469064
0,0,monkeys,1,OMCO,0.034986
0,0,monkeys,1,OOCM,0.252073
0,0,monkeys,1,OCOM,0.173873
0,0,monkeys,1,OMOC,0.066491
0,0,monkeys,1,OCCO,0.001158
0,0,monkeys,1,CCOO,0.002042
0,0,monkeys,1,COCO,0.000272
0,0,monkeys,1,COOM,0.000040
0,0,monkeys,2,OOMC,0.410508
0,0,monkeys,2,OMCO,0.155732
0,0,monkeys,2,OOCM,0.124762
0,0,monkeys,2,OCOM,0.303378
0,0,monkeys,2,OMOC,0.005620
0,0,monkeys,2,OCCO,0.000000
0,0,monkeys,2,CCOO,0.000001
0,0,monkeys,2,COCO,0.000000
0,0,monkeys,2,COOM,0.000000
0,0,kids,3,OOMC,0.590832
0,0,kids,3,OMCO,0.001137
0,0,kids,3,OOCM,0.028893
0,0,kids,3,OCOM,0.011157
0,0,kids,3,OMOC,0.007371
0,0,kids,3,OCCO,0.032116
0,0,kids,3,CCOO,0.000000
0,0,kids,3,COCO,0.010886
0,0,kids,3,COOM,0.317608
0,0,kids,4,OOMC,0.468354
0,0,kids,4,OMCO,0.006908
0,0,kids,4,OOCM,0.476381
0,0,kids,4,OCOM,0.005544
0,0,kids,4,OMOC,0.001120
0,0,kids,4,OCCO,0.000090
0,0,kids,4,CCOO,0.000000
0,0,kids,4,COCO,0.041249
0,0,kids,4,COOM,0.000354
0,0,kids,5,OOMC,0.550649
0,0,kids,5,OMCO,0.000000
0,0,kids,5,OOCM,0.404916
0,0,kids,5,OCOM,0.003543
0,0,kids,5,OMOC,0.000379
0,0,kids,5,OCCO,0.037882
0,0,kids,5,CCOO,0.001554
0,0,kids,5,COCO,0.000838
0,0,kids,5,COOM,0.000240
0,0,kids,6,OOMC,0.420216
0,0,kids,6,OMCO,0.007149
0,0,kids,6,OOCM,0.456721
0,0,kids,6,OCOM,0.002418
