who,id,alg_name,alg_type,val,sds
monkeys, 0, OMCO, Other, 0.194275, 0.054980
monkeys, 0, OCOM, Other, 0.018268, 0.028070
monkeys, 0, OOMC, Recursive, 0.037946, 0.033098
monkeys, 0, OMOC, Tail, 0.655383, 0.071536
monkeys, 0, OOCM, Crossing, 0.073985, 0.031937
monkeys, 0, OCCO, Other, 0.005393, 0.011945
monkeys, 0, CCOO, Other, 0.000672, 0.002296
monkeys, 0, COCO, Other, 0.000619, 0.001935
monkeys, 0, COOM, Other, 0.013460, 0.010207
monkeys, 1, OMCO, Other, 0.159338, 0.053432
monkeys, 1, OCOM, Other, 0.034236, 0.028947
monkeys, 1, OOMC, Recursive, 0.301913, 0.157527
monkeys, 1, OMOC, Tail, 0.128289, 0.061800
monkeys, 1, OOCM, Crossing, 0.366958, 0.128529
monkeys, 1, OCCO, Other, 0.004536, 0.009714
monkeys, 1, CCOO, Other, 0.001193, 0.003662
monkeys, 1, COCO, Other, 0.001230, 0.003366
monkeys, 1, COOM, Other, 0.002306, 0.004518
monkeys, 2, OMCO, Other, 0.258337, 0.073400
monkeys, 2, OCOM, Other, 0.133538, 0.046663
monkeys, 2, OOMC, Recursive, 0.309671, 0.112703
monkeys, 2, OMOC, Tail, 0.102492, 0.063823
monkeys, 2, OOCM, Crossing, 0.172710, 0.080533
monkeys, 2, OCCO, Other, 0.015066, 0.028535
monkeys, 2, CCOO, Other, 0.002002, 0.004935
monkeys, 2, COCO, Other, 0.002760, 0.007174
monkeys, 2, COOM, Other, 0.003424, 0.007210
kids, 3, OMCO, Other, 0.014964, 0.021888
kids, 3, OCOM, Other, 0.026215, 0.026468
kids, 3, OOMC, Recursive, 0.414351, 0.120590
kids, 3, OMOC, Tail, 0.017553, 0.028041
kids, 3, OOCM, Crossing, 0.441780, 0.115266
kids, 3, OCCO, Other, 0.011389, 0.018581
kids, 3, CCOO, Other, 0.024469, 0.037612
kids, 3, COCO, Other, 0.014806, 0.030425
kids, 3, COOM, Other, 0.034471, 0.046321
kids, 4, OMCO, Other, 0.019084, 0.028858
kids, 4, OCOM, Other, 0.019583, 0.022274
kids, 4, OOMC, Recursive, 0.627770, 0.116312
kids, 4, OMOC, Tail, 0.017534, 0.024773
kids, 4, OOCM, Crossing, 0.284220, 0.107836
kids, 4, OCCO, Other, 0.009353, 0.014895
kids, 4, CCOO, Other, 0.005664, 0.010358
kids, 4, COCO, Other, 0.006155, 0.009991
kids, 4, COOM, Other, 0.010636, 0.017611
kids, 5, OMCO, Other, 0.032069, 0.040767
kids, 5, OCOM, Other, 0.020938, 0.023582
kids, 5, OOMC, Recursive, 0.461087, 0.124810
kids, 5, OMOC, Tail, 0.021584, 0.028765
kids, 5, OOCM, Crossing, 0.209799, 0.110937
kids, 5, OCCO, Other, 0.021727, 0.027338
kids, 5, CCOO, Other, 0.087772, 0.061821
kids, 5, COCO, Other, 0.009051, 0.016396
kids, 5, COOM, Other, 0.135973, 0.080932
kids, 6, OMCO, Other, 0.041412, 0.046841
kids, 6, OCOM, Other, 0.091943, 0.054501
kids, 6, OOMC, Recursive, 0.514557, 0.120103
kids, 6, OMOC, Tail, 0.019206, 0.027610
kids, 6, OOCM, Crossing, 0.206122, 0.096428
kids, 6, OCCO, Other, 0.018345, 0.030626
kids, 6, CCOO, Other, 0.010814, 0.019785
kids, 6, COCO, Other, 0.071084, 0.076025
kids, 6, COOM, Other, 0.026518, 0.044672
kids, 7, OMCO, Other, 0.021997, 0.037614
kids, 7, OCOM, Other, 0.049332, 0.043494
kids, 7, OOMC, Recursive, 0.362108, 0.118432
kids, 7, OMOC, Tail, 0.018158, 0.029417
kids, 7, OOCM, Crossing, 0.461829, 0.115515
kids, 7, OCCO, Other, 0.044269, 0.041079
kids, 7, CCOO, Other, 0.013756, 0.021008
kids, 7, COCO, Other, 0.011400, 0.021095
kids, 7, COOM, Other, 0.017152, 0.026127
kids, 8, OMCO, Other, 0.017332, 0.025002
kids, 8, OCOM, Other, 0.044899, 0.028949
kids, 8, OOMC, Recursive, 0.605323, 0.126679
kids, 8, OMOC, Tail, 0.018772, 0.029259
kids, 8, OOCM, Crossing, 0.287141, 0.118156
kids, 8, OCCO, Other, 0.008537, 0.014084
kids, 8, CCOO, Other, 0.005691, 0.008571
kids, 8, COCO, Other, 0.005377, 0.010245
kids, 8, COOM, Other, 0.006928, 0.012685
kids, 9, OMCO, Other, 0.020651, 0.027658
kids, 9, OCOM, Other, 0.019534, 0.024090
kids, 9, OOMC, Recursive, 0.420852, 0.132734
kids, 9, OMOC, Tail, 0.015891, 0.022241
kids, 9, OOCM, Crossing, 0.483484, 0.126073
kids, 9, OCCO, Other, 0.008403, 0.015334
kids, 9, CCOO, Other, 0.007880, 0.013577
kids, 9, COCO, Other, 0.009432, 0.019025
kids, 9, COOM, Other, 0.013874, 0.021965
kids, 10, OMCO, Other, 0.013341, 0.021111
kids, 10, OCOM, Other, 0.017021, 0.017145
kids, 10, OOMC, Recursive, 0.748051, 0.112589
kids, 10, OMOC, Tail, 0.018597, 0.025621
kids, 10, OOCM, Crossing, 0.178228, 0.105423
kids, 10, OCCO, Other, 0.008068, 0.012152
kids, 10, CCOO, Other, 0.005021, 0.010213
kids, 10, COCO, Other, 0.003984, 0.007085
kids, 10, COOM, Other, 0.007689, 0.010624
kids, 11, OMCO, Other, 0.037847, 0.042268
kids, 11, OCOM, Other, 0.174065, 0.077563
kids, 11, OOMC, Recursive, 0.227312, 0.094934
kids, 11, OMOC, Tail, 0.034023, 0.046126
kids, 11, OOCM, Crossing, 0.134448, 0.073170
kids, 11, OCCO, Other, 0.055293, 0.040707
