sample,thin_sample,who,value
0,0,monkeys,3.698349
0,0,kids,3.208505
0,0,tsimane,5.640627
0,0,adults,10.118470
1,10,monkeys,4.092913
1,10,kids,2.978451
1,10,tsimane,5.103994
1,10,adults,10.231737
2,20,monkeys,4.084561
2,20,kids,2.666602
2,20,tsimane,7.632194
2,20,adults,6.201780
3,30,monkeys,3.895160
3,30,kids,2.984533
3,30,tsimane,7.646786
3,30,adults,6.508357
4,40,monkeys,3.630793
4,40,kids,3.143611
4,40,tsimane,9.086394
4,40,adults,12.328901
5,50,monkeys,2.750956
5,50,kids,2.665030
5,50,tsimane,9.106089
5,50,adults,7.519320
6,60,monkeys,3.353806
6,60,kids,2.770129
6,60,tsimane,9.919556
6,60,adults,8.840890
7,70,monkeys,3.214517
7,70,kids,3.244460
7,70,tsimane,7.227463
7,70,adults,4.744726
8,80,monkeys,3.067870
8,80,kids,3.244673
8,80,tsimane,7.521810
8,80,adults,4.845401
9,90,monkeys,2.596092
9,90,kids,3.657110
9,90,tsimane,11.825930
9,90,adults,12.557736
10,100,monkeys,2.175243
10,100,kids,2.938378
10,100,tsimane,7.730409
10,100,adults,7.511730
11,110,monkeys,2.217727
11,110,kids,2.952520
11,110,tsimane,7.851762
11,110,adults,7.528310
12,120,monkeys,2.714929
12,120,kids,3.636674
12,120,tsimane,8.520359
12,120,adults,11.448751
13,130,monkeys,2.885831
13,130,kids,3.261686
13,130,tsimane,6.518803
13,130,adults,11.195356
14,140,monkeys,3.897016
14,140,kids,3.862687
14,140,tsimane,7.067457
14,140,adults,13.457933
15,150,monkeys,4.071670
15,150,kids,2.693414
15,150,tsimane,6.537405
15,150,adults,6.597874
16,160,monkeys,4.817179
16,160,kids,3.887303
16,160,tsimane,6.562529
16,160,adults,6.192655
17,170,monkeys,3.873975
17,170,kids,2.730677
17,170,tsimane,8.299070
17,170,adults,9.392354
18,180,monkeys,3.961032
18,180,kids,2.786895
18,180,tsimane,8.654543
18,180,adults,9.069751
19,190,monkeys,3.688673
19,190,kids,2.833207
19,190,tsimane,6.580182
19,190,adults,6.205301
20,200,monkeys,7.540744
20,200,kids,2.918502
20,200,tsimane,4.317183
20,200,adults,10.796874
21,210,monkeys,5.610833
21,210,kids,3.329033
21,210,tsimane,4.709015
21,210,adults,9.183422
22,220,monkeys,4.791825
22,220,kids,3.646673
22,220,tsimane,3.749271
22,220,adults,10.327610
23,230,monkeys,4.046708
23,230,kids,2.723396
23,230,tsimane,3.465985
23,230,adults,4.471952
24,240,monkeys,3.890977
24,240,kids,2.948908
24,240,tsimane,3.716937
24,240,adults,6.578903
25,250,monkeys,3.749147
25,250,kids,2.467201
25,250,tsimane,3.565380
25,250,adults,6.472439
26,260,monkeys,3.634877
26,260,kids,2.542353
26,260,tsimane,3.091328
26,260,adults,6.970107
27,270,monkeys,3.388190
27,270,kids,2.571758
27,270,tsimane,4.532247
27,270,adults,5.975141
28,280,monkeys,3.288493
28,280,kids,3.253215
28,280,tsimane,3.673119
28,280,adults,6.568074
29,290,monkeys,3.752977
29,290,kids,3.204887
29,290,tsimane,3.529052
29,290,adults,5.862336
30,300,monkeys,6.251219
30,300,kids,2.728344
30,300,tsimane,4.376550
30,300,adults,7.298961
31,310,monkeys,6.033327
31,310,kids,3.138124
31,310,tsimane,4.207441
31,310,adults,7.362108
32,320,monkeys,4.513105
32,320,kids,2.884346
32,320,tsimane,5.057928
32,320,adults,6.082678
33,330,monkeys,4.502774
33,330,kids,2.890663
33,330,tsimane,4.904448
33,330,adults,6.140176
34,340,monkeys,4.293077
34,340,kids,2.928553
34,340,tsimane,4.992587
34,340,adults,6.114715
35,350,monkeys,4.213003
35,350,kids,2.683887
35,350,tsimane,4.788796
35,350,adults,6.948424
36,360,monkeys,4.063254
36,360,kids,2.816684
36,360,tsimane,4.999617
36,360,adults,7.491956
37,370,monkeys,4.062023
37,370,kids,2.830884
37,370,tsimane,5.032341
37,370,adults,7.501929
38,380,monkeys,3.510826
38,380,kids,2.917026
38,380,tsimane,4.464089
38,380,adults,8.376465
39,390,monkeys,3.513982
39,390,kids,2.663738
39,390,tsimane,4.566819
39,390,adults,9.367891
40,400,monkeys,3.532538
40,400,kids,2.738505
40,400,tsimane,4.487060
40,400,adults,8.995424
41,410,monkeys,4.457886
41,410,kids,3.253801
41,410,tsimane,5.192018
41,410,adults,13.514123
42,420,monkeys,4.557475
42,420,kids,3.696185
42,420,tsimane,4.882777
42,420,adults,12.278081
43,430,monkeys,4.975832
43,430,kids,3.153603
43,430,tsimane,4.493040
43,430,adults,12.884414
44,440,monkeys,4.899845
44,440,kids,3.155616
44,440,tsimane,4.795918
44,440,adults,10.920191
45,450,monkeys,5.133982
45,450,kids,2.872985
45,450,tsimane,5.367108
45,450,adults,10.637884
46,460,monkeys,5.354744
46,460,kids,2.868522
46,460,tsimane,5.138569
46,460,adults,8.673828
47,470,monkeys,5.190943
47,470,kids,2.930416
47,470,tsimane,5.214195
47,470,adults,8.702669
48,480,monkeys,5.402857
48,480,kids,3.006810
48,480,tsimane,4.796846
48,480,adults,9.162789
49,490,monkeys,5.402857
49,490,kids,3.006810
49,490,tsimane,4.796846
49,490,adults,9.162789
50,500,monkeys,5.402857
50,500,kids,3.006810
50,500,tsimane,4.796846
50,500,adults,9.162789
51,510,monkeys,5.402857
51,510,kids,3.006810
51,510,tsimane,4.796846
51,510,adults,9.162789
52,520,monkeys,5.522494
52,520,kids,2.956934
52,520,tsimane,4.855768
52,520,adults,8.931615
53,530,monkeys,5.522494
53,530,kids,2.956934
53,530,tsimane,4.855768
53,530,adults,8.931615
54,540,monkeys,3.509357
54,540,kids,3.364178
54,540,tsimane,5.023362
54,540,adults,11.033610
55,550,monkeys,3.750256
55,550,kids,2.699587
55,550,tsimane,4.757286
55,550,adults,8.540350
56,560,monkeys,3.694950
56,560,kids,3.078642
56,560,tsimane,5.300368
56,560,adults,11.463582
57,570,monkeys,3.307194
57,570,kids,2.955664
57,570,tsimane,5.707712
57,570,adults,10.922113
58,580,monkeys,3.638027
58,580,kids,2.502285
58,580,tsimane,5.703777
58,580,adults,7.354314
59,590,monkeys,3.180481
59,590,kids,2.858730
59,590,tsimane,5.294561
59,590,adults,7.840653
60,600,monkeys,2.756934
60,600,kids,2.946125
60,600,tsimane,3.197252
60,600,adults,4.594659
61,610,monkeys,7.283239
61,610,kids,2.732764
61,610,tsimane,3.186148
61,610,adults,6.246167
62,620,monkeys,4.273809
62,620,kids,3.646242
62,620,tsimane,3.430661
62,620,adults,5.889792
63,630,monkeys,3.756802
63,630,kids,2.930133
63,630,tsimane,3.375950
63,630,adults,4.592943
64,640,monkeys,3.505882
64,640,kids,3.185790
64,640,tsimane,3.299963
64,640,adults,4.368374
65,650,monkeys,4.156273
65,650,kids,3.136248
65,650,tsimane,2.841817
65,650,adults,4.888400
66,660,monkeys,3.909972
66,660,kids,3.322877
66,660,tsimane,2.862810
66,660,adults,5.258652
67,670,monkeys,4.188943
67,670,kids,3.242197
67,670,tsimane,3.050267
67,670,adults,5.374796
68,680,monkeys,4.345523
68,680,kids,3.449589
68,680,tsimane,3.173139
68,680,adults,5.205306
69,690,monkeys,3.826538
69,690,kids,3.272370
69,690,tsimane,2.730640
69,690,adults,6.318298
70,700,monkeys,3.900537
70,700,kids,4.073446
70,700,tsimane,3.984141
70,700,adults,4.797498
71,710,monkeys,3.234944
71,710,kids,3.211180
71,710,tsimane,3.510314
71,710,adults,9.319056
72,720,monkeys,2.707601
72,720,kids,4.775840
72,720,tsimane,3.584030
72,720,adults,7.188931
73,730,monkeys,5.116238
73,730,kids,3.323336
73,730,tsimane,4.120025
73,730,adults,3.812976
74,740,monkeys,6.414902
74,740,kids,3.567047
74,740,tsimane,3.314159
74,740,adults,6.329099
75,750,monkeys,2.854479
75,750,kids,2.670473
75,750,tsimane,3.090856
75,750,adults,9.780067
76,760,monkeys,7.662022
76,760,kids,3.581867
76,760,tsimane,3.648683
76,760,adults,9.682813
77,770,monkeys,8.476433
77,770,kids,3.559729
