sample,thin_sample,who,part,which,value
0,0,monkeys,0,OOMC,0.206782
0,0,monkeys,0,OMCO,0.288589
0,0,monkeys,0,OOCM,0.146816
0,0,monkeys,0,OCOM,0.065556
0,0,monkeys,0,OMOC,0.161746
0,0,monkeys,0,OCCO,0.080331
0,0,monkeys,0,CCOO,0.025659
0,0,monkeys,0,COCO,0.022858
0,0,monkeys,0,COOM,0.001663
0,0,kids,1,OOMC,0.261357
0,0,kids,1,OMCO,0.138243
0,0,kids,1,OOCM,0.244593
0,0,kids,1,OCOM,0.046514
0,0,kids,1,OMOC,0.076285
0,0,kids,1,OCCO,0.055407
0,0,kids,1,CCOO,0.076872
0,0,kids,1,COCO,0.042452
0,0,kids,1,COOM,0.058277
0,0,tsimane,2,OOMC,0.467375
0,0,tsimane,2,OMCO,0.057475
0,0,tsimane,2,OOCM,0.244751
0,0,tsimane,2,OCOM,0.063941
0,0,tsimane,2,OMOC,0.040594
0,0,tsimane,2,OCCO,0.030313
0,0,tsimane,2,CCOO,0.035069
0,0,tsimane,2,COCO,0.020272
0,0,tsimane,2,COOM,0.040211
0,0,adults,3,OOMC,0.895098
0,0,adults,3,OMCO,0.020625
0,0,adults,3,OOCM,0.008215
0,0,adults,3,OCOM,0.010841
0,0,adults,3,OMOC,0.011338
0,0,adults,3,OCCO,0.013453
0,0,adults,3,CCOO,0.013126
0,0,adults,3,COCO,0.009252
0,0,adults,3,COOM,0.018053
10,10,monkeys,0,OOMC,0.221486
10,10,monkeys,0,OMCO,0.240201
10,10,monkeys,0,OOCM,0.139087
10,10,monkeys,0,OCOM,0.100696
10,10,monkeys,0,OMOC,0.114589
10,10,monkeys,0,OCCO,0.118720
10,10,monkeys,0,CCOO,0.029896
10,10,monkeys,0,COCO,0.030820
10,10,monkeys,0,COOM,0.004505
10,10,kids,1,OOMC,0.276723
10,10,kids,1,OMCO,0.156364
10,10,kids,1,OOCM,0.249416
10,10,kids,1,OCOM,0.046355
10,10,kids,1,OMOC,0.100054
10,10,kids,1,OCCO,0.029681
10,10,kids,1,CCOO,0.070867
10,10,kids,1,COCO,0.031819
10,10,kids,1,COOM,0.038721
10,10,tsimane,2,OOMC,0.474414
10,10,tsimane,2,OMCO,0.051694
10,10,tsimane,2,OOCM,0.268331
10,10,tsimane,2,OCOM,0.060514
10,10,tsimane,2,OMOC,0.033011
10,10,tsimane,2,OCCO,0.025343
10,10,tsimane,2,CCOO,0.024574
10,10,tsimane,2,COCO,0.019362
10,10,tsimane,2,COOM,0.042756
10,10,adults,3,OOMC,0.849631
10,10,adults,3,OMCO,0.029576
10,10,adults,3,OOCM,0.011256
10,10,adults,3,OCOM,0.017945
10,10,adults,3,OMOC,0.019215
10,10,adults,3,OCCO,0.025283
10,10,adults,3,CCOO,0.018472
10,10,adults,3,COCO,0.011459
10,10,adults,3,COOM,0.017163
20,20,monkeys,0,OOMC,0.181388
20,20,monkeys,0,OMCO,0.157223
20,20,monkeys,0,OOCM,0.225835
20,20,monkeys,0,OCOM,0.121266
20,20,monkeys,0,OMOC,0.145954
20,20,monkeys,0,OCCO,0.072717
20,20,monkeys,0,CCOO,0.022688
20,20,monkeys,0,COCO,0.053047
20,20,monkeys,0,COOM,0.019882
20,20,kids,1,OOMC,0.434372
20,20,kids,1,OMCO,0.060421
20,20,kids,1,OOCM,0.234007
20,20,kids,1,OCOM,0.063120
20,20,kids,1,OMOC,0.036498
20,20,kids,1,OCCO,0.048806
20,20,kids,1,CCOO,0.041082
20,20,kids,1,COCO,0.032189
20,20,kids,1,COOM,0.049507
20,20,tsimane,2,OOMC,0.465397
20,20,tsimane,2,OMCO,0.029248
20,20,tsimane,2,OOCM,0.275339
20,20,tsimane,2,OCOM,0.105976
20,20,tsimane,2,OMOC,0.029853
20,20,tsimane,2,OCCO,0.024489
20,20,tsimane,2,CCOO,0.023148
20,20,tsimane,2,COCO,0.022646
20,20,tsimane,2,COOM,0.023904
20,20,adults,3,OOMC,0.852233
20,20,adults,3,OMCO,0.041412
20,20,adults,3,OOCM,0.014658
20,20,adults,3,OCOM,0.013436
20,20,adults,3,OMOC,0.012741
20,20,adults,3,OCCO,0.013584
20,20,adults,3,CCOO,0.013044
20,20,adults,3,COCO,0.026235
20,20,adults,3,COOM,0.012658
30,30,monkeys,0,OOMC,0.205691
30,30,monkeys,0,OMCO,0.153611
30,30,monkeys,0,OOCM,0.211310
30,30,monkeys,0,OCOM,0.119252
30,30,monkeys,0,OMOC,0.162609
30,30,monkeys,0,OCCO,0.076845
30,30,monkeys,0,CCOO,0.015360
30,30,monkeys,0,COCO,0.035992
30,30,monkeys,0,COOM,0.019330
30,30,kids,1,OOMC,0.324701
30,30,kids,1,OMCO,0.066448
30,30,kids,1,OOCM,0.304979
30,30,kids,1,OCOM,0.053815
30,30,kids,1,OMOC,0.037122
30,30,kids,1,OCCO,0.068269
30,30,kids,1,CCOO,0.034857
30,30,kids,1,COCO,0.046152
30,30,kids,1,COOM,0.063658
30,30,tsimane,2,OOMC,0.453556
30,30,tsimane,2,OMCO,0.027104
30,30,tsimane,2,OOCM,0.358804
30,30,tsimane,2,OCOM,0.068159
30,30,tsimane,2,OMOC,0.019165
30,30,tsimane,2,OCCO,0.014706
30,30,tsimane,2,CCOO,0.022534
30,30,tsimane,2,COCO,0.016703
30,30,tsimane,2,COOM,0.019269
30,30,adults,3,OOMC,0.827523
30,30,adults,3,OMCO,0.026607
30,30,adults,3,OOCM,0.021630
30,30,adults,3,OCOM,0.011268
30,30,adults,3,OMOC,0.019873
30,30,adults,3,OCCO,0.011807
30,30,adults,3,CCOO,0.017326
30,30,adults,3,COCO,0.023829
30,30,adults,3,COOM,0.040136
40,40,monkeys,0,OOMC,0.215383
40,40,monkeys,0,OMCO,0.226163
40,40,monkeys,0,OOCM,0.145869
40,40,monkeys,0,OCOM,0.082785
40,40,monkeys,0,OMOC,0.167662
40,40,monkeys,0,OCCO,0.084205
40,40,monkeys,0,CCOO,0.007340
40,40,monkeys,0,COCO,0.037966
40,40,monkeys,0,COOM,0.032627
40,40,kids,1,OOMC,0.280442
40,40,kids,1,OMCO,0.075855
40,40,kids,1,OOCM,0.161972
40,40,kids,1,OCOM,0.057671
40,40,kids,1,OMOC,0.095200
40,40,kids,1,OCCO,0.061507
40,40,kids,1,CCOO,0.088043
40,40,kids,1,COCO,0.088130
40,40,kids,1,COOM,0.091180
40,40,tsimane,2,OOMC,0.401478
40,40,tsimane,2,OMCO,0.025202
40,40,tsimane,2,OOCM,0.408210
40,40,tsimane,2,OCOM,0.068552
40,40,tsimane,2,OMOC,0.015189
40,40,tsimane,2,OCCO,0.014902
40,40,tsimane,2,CCOO,0.027134
40,40,tsimane,2,COCO,0.013082
40,40,tsimane,2,COOM,0.026251
40,40,adults,3,OOMC,0.844675
