sample,thin_sample,who,value
0,0,monkeys,0.082521
0,0,kids,0.018694
0,0,tsimane,0.000295
0,0,adults,0.000948
1,10,monkeys,0.074736
1,10,kids,0.014235
1,10,tsimane,0.006398
1,10,adults,0.000789
2,20,monkeys,0.078141
2,20,kids,0.014273
2,20,tsimane,0.005337
2,20,adults,0.001015
3,30,monkeys,0.080321
3,30,kids,0.014157
3,30,tsimane,0.006888
3,30,adults,0.001305
4,40,monkeys,0.080288
4,40,kids,0.013494
4,40,tsimane,0.004009
4,40,adults,0.001927
5,50,monkeys,0.093182
5,50,kids,0.013878
5,50,tsimane,0.000599
5,50,adults,0.000163
6,60,monkeys,0.084828
6,60,kids,0.014074
6,60,tsimane,0.000574
6,60,adults,0.000288
7,70,monkeys,0.082572
7,70,kids,0.013946
7,70,tsimane,0.000500
7,70,adults,0.000291
8,80,monkeys,0.079389
8,80,kids,0.011734
8,80,tsimane,0.000394
8,80,adults,0.000890
9,90,monkeys,0.084536
9,90,kids,0.008689
9,90,tsimane,0.000988
9,90,adults,0.001134
10,100,monkeys,0.087224
10,100,kids,0.011584
10,100,tsimane,0.001398
10,100,adults,0.000245
11,110,monkeys,0.076912
11,110,kids,0.011528
11,110,tsimane,0.001888
11,110,adults,0.000984
12,120,monkeys,0.075715
12,120,kids,0.011482
12,120,tsimane,0.001519
12,120,adults,0.000648
13,130,monkeys,0.093876
13,130,kids,0.014090
13,130,tsimane,0.002271
13,130,adults,0.000748
14,140,monkeys,0.086994
14,140,kids,0.014513
14,140,tsimane,0.003996
14,140,adults,0.002646
15,150,monkeys,0.086639
15,150,kids,0.013868
15,150,tsimane,0.003231
15,150,adults,0.001844
16,160,monkeys,0.084547
16,160,kids,0.013457
16,160,tsimane,0.003211
16,160,adults,0.001382
17,170,monkeys,0.069258
17,170,kids,0.016314
17,170,tsimane,0.004387
17,170,adults,0.000433
18,180,monkeys,0.093218
18,180,kids,0.012953
18,180,tsimane,0.001535
18,180,adults,0.000484
19,190,monkeys,0.088102
19,190,kids,0.011361
19,190,tsimane,0.002591
19,190,adults,0.003815
20,200,monkeys,0.092508
20,200,kids,0.011285
20,200,tsimane,0.002599
20,200,adults,0.002805
21,210,monkeys,0.092508
21,210,kids,0.011285
21,210,tsimane,0.002599
21,210,adults,0.002805
22,220,monkeys,0.091693
22,220,kids,0.011514
22,220,tsimane,0.002800
22,220,adults,0.002731
23,230,monkeys,0.091806
23,230,kids,0.011176
23,230,tsimane,0.003833
23,230,adults,0.002699
24,240,monkeys,0.090476
24,240,kids,0.011220
24,240,tsimane,0.003916
24,240,adults,0.002854
25,250,monkeys,0.090352
25,250,kids,0.011243
25,250,tsimane,0.003446
25,250,adults,0.002933
26,260,monkeys,0.090618
26,260,kids,0.011434
26,260,tsimane,0.003097
26,260,adults,0.002957
27,270,monkeys,0.092507
27,270,kids,0.011354
27,270,tsimane,0.003018
27,270,adults,0.003624
28,280,monkeys,0.092872
28,280,kids,0.010820
28,280,tsimane,0.002315
28,280,adults,0.004281
29,290,monkeys,0.093126
29,290,kids,0.010951
29,290,tsimane,0.002305
29,290,adults,0.003898
30,300,monkeys,0.093864
30,300,kids,0.011027
30,300,tsimane,0.002153
30,300,adults,0.004476
31,310,monkeys,0.090883
31,310,kids,0.011826
31,310,tsimane,0.001389
31,310,adults,0.003564
32,320,monkeys,0.092051
32,320,kids,0.011948
32,320,tsimane,0.001460
32,320,adults,0.002931
33,330,monkeys,0.090386
33,330,kids,0.009260
33,330,tsimane,0.001389
33,330,adults,0.000775
34,340,monkeys,0.090386
34,340,kids,0.009260
34,340,tsimane,0.001389
34,340,adults,0.000775
35,350,monkeys,0.091939
35,350,kids,0.009221
35,350,tsimane,0.001468
35,350,adults,0.000813
36,360,monkeys,0.090310
36,360,kids,0.011117
36,360,tsimane,0.000850
36,360,adults,0.002503
37,370,monkeys,0.079518
37,370,kids,0.013872
37,370,tsimane,0.002336
37,370,adults,0.001080
38,380,monkeys,0.079537
38,380,kids,0.013889
38,380,tsimane,0.001690
38,380,adults,0.000717
39,390,monkeys,0.070142
39,390,kids,0.016134
39,390,tsimane,0.004598
39,390,adults,0.000135
40,400,monkeys,0.075413
40,400,kids,0.013810
40,400,tsimane,0.003089
40,400,adults,0.000206
41,410,monkeys,0.079832
41,410,kids,0.013831
41,410,tsimane,0.003593
41,410,adults,0.000286
42,420,monkeys,0.088430
42,420,kids,0.018107
42,420,tsimane,0.004477
42,420,adults,0.000505
43,430,monkeys,0.106210
43,430,kids,0.017659
43,430,tsimane,0.009429
43,430,adults,0.000219
44,440,monkeys,0.097003
44,440,kids,0.017574
44,440,tsimane,0.006415
44,440,adults,0.000128
45,450,monkeys,0.089339
45,450,kids,0.015420
45,450,tsimane,0.001064
45,450,adults,0.002636
46,460,monkeys,0.101254
46,460,kids,0.012201
46,460,tsimane,0.000282
46,460,adults,0.000945
47,470,monkeys,0.077982
47,470,kids,0.012657
47,470,tsimane,0.001606
47,470,adults,0.000708
48,480,monkeys,0.059321
48,480,kids,0.013965
48,480,tsimane,0.000526
48,480,adults,0.000799
49,490,monkeys,0.059070
49,490,kids,0.013620
49,490,tsimane,0.000525
49,490,adults,0.000781
50,500,monkeys,0.059785
50,500,kids,0.013940
