who,id,alg_name,alg_type,val,sd
monkeys, 0, C[C(, Other, 0.002025, 0.006629
monkeys, 0, OCOM, Other, 0.003583, 0.009443
monkeys, 0, )O]O, Other, 0.002571, 0.007203
monkeys, 0, ][(), Other, 0.004586, 0.010846
monkeys, 0, CC[(, Other, 0.002294, 0.006316
monkeys, 0, ])[(, Other, 0.002601, 0.007205
monkeys, 0, OCCO, Other, 0.003444, 0.009358
monkeys, 0, )]([, Other, 0.002569, 0.007082
monkeys, 0, [C(M, Other, 0.006462, 0.016105
monkeys, 0, ])OO, Other, 0.001856, 0.006051
monkeys, 0, ()][, Other, 0.004607, 0.009140
monkeys, 0, [)(], Other, 0.003135, 0.008052
monkeys, 0, )[](, Other, 0.002296, 0.006363
monkeys, 0, OO]), Crossing, 0.011289, 0.023252
monkeys, 0, ]([), Other, 0.002635, 0.008394
monkeys, 0, )OO], Other, 0.003749, 0.010454
monkeys, 0, C([M, Other, 0.002252, 0.006450
monkeys, 0, OMCO, Other, 0.007661, 0.020249
monkeys, 0, OOCM, Crossing, 0.007223, 0.015835
monkeys, 0, ([]), Recursive, 0.003043, 0.007762
monkeys, 0, ]O)O, Other, 0.002455, 0.007086
monkeys, 0, ])([, Other, 0.002116, 0.006209
monkeys, 0, COOC, Other, 0.004915, 0.011841
monkeys, 0, O]O), Other, 0.006549, 0.016461
monkeys, 0, )(][, Other, 0.002700, 0.006679
monkeys, 0, OO)], Crossing, 0.005185, 0.011695
monkeys, 0, COCO, Other, 0.002766, 0.007607
monkeys, 0, [](), Tail, 0.606564, 0.070503
monkeys, 0, CCOO, Other, 0.001982, 0.005963
monkeys, 0, [(CM, Crossing, 0.021095, 0.032762
monkeys, 0, CC([, Other, 0.002580, 0.006710
monkeys, 0, )([], Other, 0.002219, 0.006105
monkeys, 0, )[(], Other, 0.005166, 0.012282
monkeys, 0, [])(, Other, 0.129192, 0.051674
monkeys, 0, OMOM, Tail, 0.006205, 0.014496
monkeys, 0, OOMM, Recursive, 0.003459, 0.009060
monkeys, 0, (CC[, Other, 0.003182, 0.008262
monkeys, 0, ][)(, Other, 0.002205, 0.006471
monkeys, 0, (])[, Other, 0.002360, 0.006880
monkeys, 0, [CC(, Other, 0.005545, 0.015520
monkeys, 0, [(]), Other, 0.041355, 0.042092
monkeys, 0, O)O], Other, 0.004506, 0.009001
monkeys, 0, O)]O, Other, 0.002840, 0.007631
monkeys, 0, C[(M, Other, 0.005947, 0.013953
monkeys, 0, (C[M, Other, 0.002800, 0.008011
monkeys, 0, )][(, Other, 0.002241, 0.006283
monkeys, 0, ([)], Other, 0.002622, 0.007347
monkeys, 0, [()], Recursive, 0.013781, 0.019357
monkeys, 0, O])O, Other, 0.005590, 0.017018
monkeys, 0, ()[], Tail, 0.003067, 0.007256
monkeys, 0, ]()[, Other, 0.002574, 0.006856
monkeys, 0, (][), Other, 0.002519, 0.007240
monkeys, 0, [)](, Other, 0.002316, 0.006679
monkeys, 0, ([CM, Crossing, 0.002571, 0.006669
monkeys, 0, ]OO), Other, 0.002755, 0.008520
monkeys, 0, )]OO, Other, 0.002117, 0.006590
monkeys, 0, C(C[, Other, 0.002079, 0.005541
monkeys, 1, C[C(, Other, 0.002365, 0.006572
monkeys, 1, OCOM, Other, 0.007411, 0.017654
monkeys, 1, )O]O, Other, 0.002548, 0.007341
monkeys, 1, ][(), Other, 0.002691, 0.007442
monkeys, 1, CC[(, Other, 0.002650, 0.007596
monkeys, 1, ])[(, Other, 0.002589, 0.007301
monkeys, 1, OCCO, Other, 0.003821, 0.010441
monkeys, 1, )]([, Other, 0.002992, 0.008169
monkeys, 1, [C(M, Other, 0.004719, 0.010979
monkeys, 1, ])OO, Other, 0.002587, 0.007289
monkeys, 1, ()][, Other, 0.055767, 0.043892
monkeys, 1, [)(], Other, 0.007075, 0.013913
monkeys, 1, )[](, Other, 0.002700, 0.007986
monkeys, 1, OO]), Crossing, 0.009930, 0.020916
monkeys, 1, ]([), Other, 0.002561, 0.007626
monkeys, 1, )OO], Other, 0.002399, 0.006546
monkeys, 1, C([M, Other, 0.002573, 0.007649
monkeys, 1, OMCO, Other, 0.008822, 0.020160
monkeys, 1, OOCM, Crossing, 0.030582, 0.055696
monkeys, 1, ([]), Recursive, 0.005729, 0.012638
monkeys, 1, ]O)O, Other, 0.002526, 0.007000
monkeys, 1, ])([, Other, 0.002408, 0.007484
monkeys, 1, COOC, Other, 0.003070, 0.007744
monkeys, 1, O]O), Other, 0.002450, 0.006448
monkeys, 1, )(][, Other, 0.002793, 0.007944
monkeys, 1, OO)], Crossing, 0.177370, 0.142958
monkeys, 1, COCO, Other, 0.003609, 0.009178
monkeys, 1, [](), Tail, 0.005056, 0.010748
monkeys, 1, CCOO, Other, 0.002292, 0.006773
monkeys, 1, [(CM, Crossing, 0.029547, 0.047934
monkeys, 1, CC([, Other, 0.002653, 0.007717
monkeys, 1, )([], Other, 0.002420, 0.007113
monkeys, 1, )[(], Other, 0.002734, 0.007233
monkeys, 1, [])(, Other, 0.003803, 0.009017
monkeys, 1, OMOM, Tail, 0.010183, 0.022162
