Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS
k0478,2015.03.31,5,2,A,A,1,0,No Hint,Unknown,bl,bl,bl,4.916667,21.43333,4006,4,1,FALSE,0,6,5,5,4006.01,,40,3,2,1,TEST ,ABCD,"Recursive, Not Taught",4.919917864,47,34,52,22,20
k0478,2015.03.31,6,2,B,B,1,0,No Hint,Unknown,bl,bl,bl,5.083333,26.51667,4006,4,1,FALSE,0,6,3,3,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,7,2,C,C,1,0,No Hint,Unknown,bl,bl,bl,5.6,32.11667,4006,4,1,FALSE,0,6,1,1,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,8,2,D,D,1,0,No Hint,Unknown,1,0,bl,0.95,33.06667,4006,4,1,FALSE,0,6,4,4,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,17,5,C,A,1,0,No Hint,Unknown,bl,bl,bl,4.016667,72.83333,4006,4,1,FALSE,0,6,4,2,4006.03,,40,3,2,1,TEST ,CABD,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,18,5,A,B,1,0,No Hint,Unknown,bl,bl,bl,3.866667,76.7,4006,4,1,FALSE,0,6,2,1,4006.01,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,19,5,B,C,1,0,No Hint,Unknown,bl,bl,bl,2.016667,78.71667,4006,4,1,FALSE,0,6,1,4,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,20,5,D,D,1,0,No Hint,Unknown,1,0,bl,0.5,79.21667,4006,4,1,FALSE,0,6,5,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,21,6,A,A,1,0,No Hint,Unknown,bl,bl,bl,2.683333,89.16667,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,TEST ,ACBD,Not Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,22,6,C,B,1,0,No Hint,Unknown,bl,bl,bl,2.95,92.11667,4006,4,1,FALSE,0,6,2,4,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,23,6,B,C,1,0,No Hint,Unknown,bl,bl,bl,2.733333,94.85,4006,4,1,FALSE,0,6,4,2,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,24,6,D,D,1,0,No Hint,Unknown,1,0,bl,0.4833333,95.33333,4006,4,1,FALSE,0,6,5,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
