Sub,Exposure,Experiment,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,Order pressed,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,,,,
Coltrane,1,Experiment 2,2015.05.01,272,75,A,A,1,0,,No Hint,Unknown,bl,bl,bl,2.45,994.7167,4003,4,1,FALSE,0,6,10,10,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,273,75,C,B,1,0,,No Hint,Unknown,bl,bl,bl,1.016667,995.7333,4003,4,1,FALSE,0,6,6,9,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,274,75,D,C,1,0,,No Hint,Unknown,bl,bl,bl,1.066667,996.8,4003,4,1,FALSE,0,6,4,6,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,275,75,B,D,1,0,ACDB,No Hint,Unknown,1,0,bl,0.5333333,997.3333,4003,4,1,FALSE,0,6,9,4,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,375,101,A,A,1,0,,No Hint,Unknown,bl,bl,bl,2.9,1308.217,4003,4,1,FALSE,0,6,2,2,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,376,101,B,B,1,0,,No Hint,Unknown,bl,bl,bl,0.6166667,1308.833,4003,4,1,FALSE,0,6,5,5,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,377,101,C,C,1,0,,No Hint,Unknown,bl,bl,bl,0.6333333,1309.467,4003,4,1,FALSE,0,6,3,3,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,378,101,D,D,1,0,ABCD,No Hint,Unknown,1,0,bl,0.55,1310.017,4003,4,1,FALSE,0,6,10,10,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,383,103,C,A,1,0,,No Hint,Unknown,bl,bl,bl,2.65,1327.667,4003,4,1,FALSE,0,6,3,9,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,384,103,A,B,1,0,,No Hint,Unknown,bl,bl,bl,0.5333333,1328.2,4003,4,1,FALSE,0,6,9,4,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,385,103,B,C,1,0,,No Hint,Unknown,bl,bl,bl,1.466667,1329.667,4003,4,1,FALSE,0,6,4,3,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,386,103,D,D,1,0,CABD,No Hint,Unknown,1,0,bl,0.4166667,1330.083,4003,4,1,FALSE,0,6,10,10,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,391,105,A,A,1,0,,No Hint,Unknown,bl,bl,bl,1.866667,1348.083,4003,4,1,FALSE,0,6,5,5,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,392,105,B,B,1,0,,No Hint,Unknown,bl,bl,bl,1.083333,1349.167,4003,4,1,FALSE,0,6,7,7,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,393,105,C,C,1,0,,No Hint,Unknown,bl,bl,bl,0.8666667,1350.033,4003,4,1,FALSE,0,6,9,9,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,394,105,D,D,1,0,ABCD,No Hint,Unknown,1,0,bl,0.4666667,1350.5,4003,4,1,FALSE,0,6,6,6,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,431,117,C,A,1,0,,No Hint,Unknown,bl,bl,bl,2.9,1494.417,4003,4,1,FALSE,0,6,7,2,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,432,117,A,B,1,0,,No Hint,Unknown,bl,bl,bl,0.6166667,1495.033,4003,4,1,FALSE,0,6,2,4,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,433,117,D,C,1,0,,No Hint,Unknown,bl,bl,bl,0.8166667,1495.85,4003,4,1,FALSE,0,6,1,7,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,434,117,B,D,1,0,CADB,No Hint,Unknown,1,0,bl,0.4,1496.25,4003,4,1,FALSE,0,6,4,1,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,477,129,C,A,1,0,,No Hint,Unknown,bl,bl,bl,3.166667,1644.55,4003,4,1,FALSE,0,6,6,0,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,478,129,A,B,1,0,,No Hint,Unknown,bl,bl,bl,1.683333,1646.233,4003,4,1,FALSE,0,6,0,11,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,479,129,D,C,1,0,,No Hint,Unknown,bl,bl,bl,0.4666667,1646.7,4003,4,1,FALSE,0,6,10,6,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,480,129,B,D,1,0,CADB,No Hint,Unknown,1,0,bl,0.5333333,1647.233,4003,4,1,FALSE,0,6,11,10,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,489,132,A,A,1,0,,No Hint,Unknown,bl,bl,bl,2.45,1676.35,4003,4,1,FALSE,0,6,7,7,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,490,132,B,B,1,0,,No Hint,Unknown,bl,bl,bl,0.9833333,1677.333,4003,4,1,FALSE,0,6,4,4,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,491,132,D,C,1,0,,No Hint,Unknown,bl,bl,bl,0.7,1678.033,4003,4,1,FALSE,0,6,5,2,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,492,132,C,D,1,0,ABDC,No Hint,Unknown,1,0,bl,0.4333333,1678.467,4003,4,1,FALSE,0,6,2,5,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,493,133,C,A,1,0,,No Hint,Unknown,bl,bl,bl,4.3,1706.217,4003,4,1,FALSE,0,6,4,3,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,494,133,A,B,1,0,,No Hint,Unknown,bl,bl,bl,0.5166667,1706.733,4003,4,1,FALSE,0,6,3,2,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,495,133,D,C,1,0,,No Hint,Unknown,bl,bl,bl,1.066667,1707.8,4003,4,1,FALSE,0,6,9,4,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,496,133,B,D,1,0,CADB,No Hint,Unknown,1,0,bl,1.8,1709.6,4003,4,1,FALSE,0,6,2,9,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,582,156,A,A,1,0,,No Hint,Unknown,bl,bl,bl,3.15,2011.3,4003,4,1,FALSE,0,6,8,8,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,583,156,B,B,1,0,,No Hint,Unknown,bl,bl,bl,0.4666667,2011.767,4003,4,1,FALSE,0,6,2,2,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,584,156,C,C,1,0,,No Hint,Unknown,bl,bl,bl,0.9833333,2012.75,4003,4,1,FALSE,0,6,11,11,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,585,156,D,D,1,0,ABCD,No Hint,Unknown,1,0,bl,0.4666667,2013.217,4003,4,1,FALSE,0,6,0,0,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,691,184,C,A,1,0,,No Hint,Unknown,bl,bl,bl,4.5,2314.4,4003,4,1,FALSE,0,6,8,6,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,692,184,A,B,1,0,,No Hint,Unknown,bl,bl,bl,0.5166667,2314.917,4003,4,1,FALSE,0,6,6,11,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,693,184,B,C,1,0,,No Hint,Unknown,bl,bl,bl,1.183333,2316.1,4003,4,1,FALSE,0,6,11,8,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.01,694,184,D,D,1,0,CABD,No Hint,Unknown,1,0,bl,0.5,2316.6,4003,4,1,FALSE,0,6,1,1,4003.04,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.04,61,22,A,A,1,0,,No Hint,Unknown,bl,bl,bl,2.316667,5183.183,4003,4,1,FALSE,0,6,11,11,4003.01,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.04,62,22,B,B,1,0,,No Hint,Unknown,bl,bl,bl,1.766667,5184.95,4003,4,1,FALSE,0,6,2,2,4003.02,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.04,63,22,C,C,1,0,,No Hint,Unknown,bl,bl,bl,0.5333333,5185.483,4003,4,1,FALSE,0,6,7,7,4003.03,,200,3,4,1,,,,
Coltrane,1,Experiment 2,2015.05.04,64,22,D,D,1,0,ABCD,No Hint,Unknown,1,0,bl,0.45,5185.933,4003,4,1,FALSE,0,6,0,0,4003.04,,200,3,4,1,,,,
